RBS;Occupancy;Time 
RBS_0;0;-1.0
RBS_1;0;-1.0
RBS_2;0;-1.0
RBS_3;0;-1.0
RBS_4;0;-1.0
RBS_5;0;-1.0
RBS_6;0;-1.0
RBS_7;0;-1.0
RBS_8;1;176.96041526319198
RBS_8;1;206.36374497824775
RBS_8;1;271.3306471102643
RBS_8;1;280.87182066090065
RBS_8;1;304.1686598939384
RBS_8;1;318.05857776242937
RBS_8;1;342.3962648941249
RBS_8;1;352.7999443651409
RBS_8;1;398.8047478735513
RBS_8;1;407.42330484586444
RBS_8;1;417.9030922484162
RBS_8;1;447.6237020221412
RBS_8;1;459.2750165376524
RBS_8;1;556.2023196947721
RBS_8;1;572.73344478609
RBS_8;1;576.7938409722054
RBS_8;1;619.3889547821765
RBS_8;1;767.5591319667692
RBS_8;1;771.0628291450938
RBS_8;1;774.402350676417
RBS_8;1;797.9772838279091
RBS_8;1;861.202237271934
RBS_8;1;877.3527885101461
RBS_8;1;902.5506801450164
RBS_8;1;1018.3632989024236
RBS_8;1;1040.2632411011293
RBS_8;1;1090.1821809823628
RBS_8;1;1142.50525664667
RBS_8;1;1156.695433954499
RBS_8;1;1167.6414972433781
RBS_8;1;1182.8338583789266
RBS_8;1;1198.3969204974405
RBS_8;0;1238.3004491429533
RBS_8;1;1417.083540674941
RBS_8;1;1431.4017577960392
RBS_8;1;1493.8589293809355
RBS_8;1;1496.291245870419
RBS_8;0;1515.9637090969688
RBS_8;1;1923.0415579035678
RBS_8;1;1947.579761722202
RBS_8;1;1956.8456906768408
RBS_8;0;2167.2753845369593
RBS_8;1;6077.45536739989
RBS_8;1;6104.590111968075
RBS_8;1;6115.307790839245
RBS_8;1;6115.604317085122
RBS_8;1;6126.485128014861
RBS_8;1;6133.653797871352
RBS_8;1;6156.202956215468
RBS_8;1;6171.027102780027
RBS_8;1;6188.799094626601
RBS_8;1;6549.324812283944
RBS_8;1;6604.450074641669
RBS_8;1;6615.166069586153
RBS_8;0;6713.947000706111
RBS_8;1;7140.2947871885945
RBS_8;1;7149.511636455089
RBS_8;1;7158.572105626038
RBS_8;1;7166.4404345442235
RBS_8;1;7174.705205148768
RBS_8;0;7270.995718319589
RBS_8;0;-1.0
