VM name; State; Duration 
DC0_VM0;INACTIVE;12.183202608744171
DC0_VM0;INITIATING;87.0
DC0_VM0;ACTIVE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;92.8432641709987
DC0_VM0;PROCESS;5.0
DC0_VM0;TERMINATING;21.0
DC0_VM0;INACTIVE;0.0
DC0_VM0;INITIATING;87.0
DC0_VM0;ACTIVE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;TERMINATING;21.0
DC0_VM0;INACTIVE;39.666243755522316
DC0_VM0;INITIATING;87.0
DC0_VM0;ACTIVE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;4.319028140454577
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;42.68866665767865
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;3.240450006734136
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;1.2757592032226057
DC0_VM0;PROCESS;5.0
DC0_VM0;TERMINATING;21.0
DC0_VM0;INACTIVE;5.067806197502591
DC0_VM0;INITIATING;87.0
DC0_VM0;ACTIVE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;75.25473242456178
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;12.781802165489921
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;TERMINATING;21.0
DC0_VM0;INACTIVE;0.0
DC0_VM0;INITIATING;87.0
DC0_VM0;ACTIVE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;0.0
DC0_VM0;PROCESS;5.0
DC0_VM0;IDLE;51.67904466909056
DC1_VM0;INACTIVE;1000.0
DC2_VM0;INACTIVE;1000.0
DC3_VM0;INACTIVE;1000.0
DC4_VM0;INACTIVE;1000.0
DC5_VM0;INACTIVE;1000.0
DC6_VM0;INACTIVE;1000.0
DC7_VM0;INACTIVE;1000.0
DC8_VM0;INACTIVE;1000.0
DC9_VM0;INACTIVE;1000.0
DC10_VM0;INACTIVE;1000.0
DC11_VM0;INACTIVE;1000.0
DC12_VM0;INACTIVE;1000.0
DC13_VM0;INACTIVE;1000.0
DC14_VM0;INACTIVE;1000.0
DC15_VM0;INACTIVE;1000.0
