PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
null;0;50;2;3094;0;534;0.0;0.003;0.001;0.0;5.943455292632734;0.003;82.0;
DC13_VM0;0;50;2;3094;0;535;0.0;0.003;0.001;0.0;5.943455292632734;0.003;87.65151408739797;
DC13_VM0;0;50;2;3094;0;536;0.0;0.003;0.001;0.0;5.943455292632734;0.003;93.25882905055505;
DC13_VM0;0;50;2;3094;0;537;0.0;0.003;0.001;0.0;5.943455292632734;0.003;98.56943685468195;
DC13_VM0;0;50;2;3094;0;538;0.0;0.003;0.001;0.0;5.943455292632734;0.003;104.36898708942994;
DC13_VM0;0;50;2;3094;0;539;0.0;0.003;0.001;0.0;5.943455292632734;0.003;109.79468274174917;
DC13_VM0;0;50;2;3094;0;540;0.0;0.003;0.001;0.0;5.943455292632734;0.003;115.54465408380423;
DC13_VM0;0;50;2;3094;0;541;0.0;0.003;0.001;0.0;5.943455292632734;0.003;121.14996790780896;
DC13_VM0;0;50;2;3094;0;542;0.0;0.003;0.001;0.0;5.943455292632734;0.003;126.8906104651615;
DC13_VM0;0;50;2;3094;0;543;0.0;0.003;0.001;0.0;5.943455292632734;0.003;132.45012118428178;
DC13_VM0;0;50;2;3094;0;544;0.0;0.003;0.001;0.0;5.943455292632734;0.003;138.25645770093047;
DC13_VM0;0;50;2;3094;0;545;0.0;0.003;0.001;0.0;5.943455292632734;0.003;144.1872116308199;
DC13_VM0;0;50;2;3094;0;546;0.0;0.003;0.001;0.0;5.943455292632734;0.003;150.11445858055578;
DC13_VM0;0;50;2;3094;0;547;0.0;0.003;0.001;0.0;5.943455292632734;0.003;155.71176473479977;
DC13_VM0;0;50;2;3094;0;548;0.0;0.003;0.001;0.0;5.943455292632734;0.003;161.40581525750667;
DC13_VM0;0;50;2;3094;0;549;0.0;0.003;0.001;0.0;5.943455292632734;0.003;167.23951941827931;
DC13_VM0;0;50;0;508;1;54;0.0;0.003;0.002;0.01;5.943455292632734;0.003;172.85013432691488;
DC13_VM0;0;50;2;3094;0;550;0.0;0.003;0.001;0.0;5.943455292632734;0.003;178.78786427379737;
DC13_VM0;0;50;0;508;1;55;0.0;0.003;0.002;0.01;5.943455292632734;0.003;184.72704491218036;
DC13_VM0;0;50;0;508;1;56;0.0;0.003;0.002;0.01;5.943455292632734;0.003;190.6605002048131;
DC13_VM0;0;50;0;508;1;57;0.0;0.003;0.002;0.01;5.943455292632734;0.003;196.59395549744585;
DC13_VM0;0;50;0;508;1;58;0.0;0.003;0.002;0.01;5.943455292632734;0.003;202.5274107900786;
DC13_VM0;0;50;0;508;1;59;0.0;0.003;0.002;0.01;5.943455292632734;0.003;208.46086608271133;
DC13_VM0;0;50;0;508;1;60;0.0;0.003;0.002;0.01;5.943455292632734;0.003;214.39432137534408;
DC13_VM0;0;50;0;508;1;61;0.0;0.003;0.002;0.01;5.943455292632734;0.003;220.32777666797682;
DC13_VM0;0;50;0;508;1;62;0.0;0.003;0.002;0.01;5.943455292632734;0.003;226.26123196060956;
DC13_VM0;0;50;0;508;1;63;0.0;0.003;0.002;0.01;5.943455292632734;0.003;232.1946872532423;
DC13_VM0;0;50;0;508;1;64;0.0;0.003;0.002;0.01;5.943455292632734;0.003;238.12814254587505;
DC13_VM0;0;50;0;508;1;65;0.0;0.003;0.002;0.01;5.943455292632734;0.003;244.0615978385078;
DC13_VM0;0;50;0;508;1;66;0.0;0.003;0.002;0.01;5.943455292632734;0.003;249.99505313114054;
DC13_VM0;0;50;0;508;1;67;0.0;0.003;0.002;0.01;5.943455292632734;0.003;255.92850842377328;
DC13_VM0;0;50;0;508;1;68;0.0;0.003;0.002;0.01;5.943455292632734;0.003;261.861963716406;
DC13_VM0;0;50;0;508;1;69;0.0;0.003;0.002;0.01;5.943455292632734;0.003;267.79541900903877;
DC13_VM0;0;50;0;508;1;70;0.0;0.003;0.002;0.01;5.943455292632734;0.003;273.7288743016715;
DC13_VM0;0;50;0;508;1;71;0.0;0.003;0.002;0.01;5.943455292632734;0.003;279.66232959430425;
DC13_VM0;0;50;0;508;1;72;0.0;0.003;0.002;0.01;5.943455292632734;0.003;285.595784886937;
DC13_VM0;0;50;0;508;1;73;0.0;0.003;0.002;0.01;5.943455292632734;0.003;291.52924017956974;
DC13_VM0;0;50;0;508;1;74;0.0;0.003;0.002;0.01;5.943455292632734;0.003;297.4626954722025;
DC13_VM0;0;50;0;508;1;75;0.0;0.003;0.002;0.01;5.943455292632734;0.003;303.3961507648352;
DC13_VM0;0;50;0;508;1;76;0.0;0.003;0.002;0.01;5.943455292632734;0.003;309.32960605746797;
DC13_VM0;0;50;0;508;1;77;0.0;0.003;0.002;0.01;5.943455292632734;0.003;315.2630613501007;
DC13_VM0;0;50;0;508;1;78;0.0;0.003;0.002;0.01;5.943455292632734;0.003;321.19651664273346;
DC13_VM0;0;50;0;508;1;79;0.0;0.003;0.002;0.01;5.943455292632734;0.003;327.1299719353662;
DC13_VM0;0;50;0;508;1;80;0.0;0.003;0.002;0.01;5.943455292632734;0.003;333.06342722799894;
DC13_VM0;0;50;0;508;1;81;0.0;0.003;0.002;0.01;5.943455292632734;0.003;338.9968825206317;
DC13_VM0;0;50;0;508;1;82;0.0;0.003;0.002;0.01;5.943455292632734;0.003;344.93033781326443;
DC13_VM0;0;50;0;508;1;83;0.0;0.003;0.002;0.01;5.943455292632734;0.003;350.8637931058972;
DC13_VM0;0;50;0;508;1;84;0.0;0.003;0.002;0.01;5.943455292632734;0.003;356.7972483985299;
DC13_VM0;0;50;0;508;1;85;0.0;0.003;0.002;0.01;5.943455292632734;0.003;362.73070369116266;
DC13_VM0;0;50;0;508;1;86;0.0;0.003;0.002;0.01;5.943455292632734;0.003;368.6641589837954;
DC13_VM0;0;50;0;508;1;87;0.0;0.003;0.002;0.01;5.943455292632734;0.003;374.59761427642815;
DC13_VM0;0;50;0;508;1;88;0.0;0.003;0.002;0.01;5.943455292632734;0.003;380.5310695690609;
DC13_VM0;0;50;0;508;1;89;0.0;0.003;0.002;0.01;5.943455292632734;0.003;386.46452486169363;
DC13_VM0;0;50;0;508;1;90;0.0;0.003;0.002;0.01;5.943455292632734;0.003;392.3979801543264;
DC13_VM0;0;50;0;508;1;91;0.0;0.003;0.002;0.01;5.943455292632734;0.003;398.3314354469591;
DC13_VM0;0;50;0;508;1;92;0.0;0.003;0.002;0.01;5.943455292632734;0.003;404.26489073959186;
DC13_VM0;0;50;0;508;1;93;0.0;0.003;0.002;0.01;5.943455292632734;0.003;410.1983460322246;
DC13_VM0;0;50;0;508;1;94;0.0;0.003;0.002;0.01;5.943455292632734;0.003;416.13180132485735;
DC13_VM0;0;50;0;508;1;95;0.0;0.003;0.002;0.01;5.943455292632734;0.003;422.0652566174901;
DC13_VM0;0;50;0;508;1;96;0.0;0.003;0.002;0.01;5.943455292632734;0.003;427.99871191012284;
DC13_VM0;0;50;0;508;1;97;0.0;0.003;0.002;0.01;5.943455292632734;0.003;433.9321672027556;
DC13_VM0;0;50;0;508;1;98;0.0;0.003;0.002;0.01;5.943455292632734;0.003;439.8656224953883;
DC13_VM0;0;50;0;508;1;99;0.0;0.003;0.002;0.01;5.943455292632734;0.003;445.79907778802107;
DC13_VM0;0;50;2;3094;0;551;0.0;0.003;0.001;0.0;5.943455292632734;0.003;451.73796839483884;
DC13_VM0;0;50;0;508;1;100;0.0;0.003;0.002;0.01;5.943455292632734;0.003;457.67598837328654;
DC13_VM0;0;50;0;508;1;101;0.0;0.003;0.002;0.01;5.943455292632734;0.003;463.6094436659193;
DC13_VM0;0;50;0;508;1;102;0.0;0.003;0.002;0.01;5.943455292632734;0.003;469.54289895855203;
DC13_VM0;0;50;0;508;1;103;0.0;0.003;0.002;0.01;5.943455292632734;0.003;475.4763542511848;
DC13_VM0;0;50;0;508;1;104;0.0;0.003;0.002;0.01;5.943455292632734;0.003;481.4098095438175;
DC13_VM0;0;50;0;508;1;105;0.0;0.003;0.002;0.01;5.943455292632734;0.003;487.34326483645026;
DC13_VM0;0;50;0;508;1;106;0.0;0.003;0.002;0.01;5.943455292632734;0.003;493.276720129083;
DC13_VM0;0;50;0;508;1;107;0.0;0.003;0.002;0.01;5.943455292632734;0.003;499.21017542171575;
DC13_VM0;0;50;0;508;1;108;0.0;0.003;0.002;0.01;5.943455292632734;0.003;505.1436307143485;
DC13_VM0;0;50;0;508;1;109;0.0;0.003;0.002;0.01;5.943455292632734;0.003;511.07708600698123;
DC13_VM0;0;50;0;508;1;110;0.0;0.003;0.002;0.01;5.943455292632734;0.003;517.010541299614;
DC13_VM0;0;50;0;508;1;111;0.0;0.003;0.002;0.01;5.943455292632734;0.003;522.9439965922468;
DC13_VM0;0;50;0;508;1;112;0.0;0.003;0.002;0.01;5.943455292632734;0.003;528.8774518848795;
