PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
null;0;53;0;5;0;0;0.0;0.003;0.001;0.0;0.0;0.003;82.0;
DC0_VM0;0;105;0;3;0;0;0.0;0.003;0.001;0.0;0.0;0.003;76.55932765161876;
DC0_VM0;0;39;0;3;0;0;0.0;0.003;0.001;0.0;0.0;0.003;76.18684304322662;
DC0_VM0;0;38;0;9;0;0;0.0;0.003;0.001;0.0;0.0;0.003;71.78564616176739;
DC0_VM0;0;114;1;2;0;0;0.0;0.003;0.001;0.0;0.0;0.003;68.32666267250033;
DC0_VM0;0;77;0;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;67.67239418801995;
DC0_VM0;0;107;0;4;0;0;0.0;0.003;0.001;0.0;0.0;0.003;66.06573255998417;
DC0_VM0;0;53;0;5;0;1;0.0;0.003;0.001;0.0;0.0;0.003;65.35439128856304;
DC0_VM0;0;77;1;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;62.902301335988284;
DC0_VM0;0;67;0;12;0;0;0.0;0.003;0.001;0.0;0.0;0.003;61.40956618424763;
DC0_VM0;0;105;0;3;0;1;0.0;0.003;0.001;0.0;0.0;0.003;60.537627704739506;
DC0_VM0;0;53;0;5;0;2;0.0;0.003;0.001;0.0;0.0;0.003;59.24891289195354;
DC0_VM0;0;30;0;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;58.87443090423693;
DC0_VM0;0;92;0;3;0;0;0.0;0.003;0.001;0.0;0.0;0.003;58.22846879332692;
DC0_VM0;0;29;0;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;57.37193121108139;
DC0_VM0;0;100;0;19;0;0;0.0;0.003;0.001;0.0;0.0;0.003;55.36012314336645;
DC0_VM0;0;30;1;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;53.852696888391684;
DC0_VM0;0;77;3;8;0;0;0.0;0.003;0.001;0.0;0.0;0.003;53.36111283964679;
DC0_VM0;0;53;0;5;0;3;0.0;0.003;0.001;0.0;0.0;0.003;52.73267560275343;
DC0_VM0;0;107;0;4;0;1;0.0;0.003;0.001;0.0;0.0;0.003;52.34657250159836;
DC0_VM0;0;67;0;12;0;1;0.0;0.003;0.001;0.0;0.0;0.003;49.94801569231364;
DC0_VM0;0;29;1;3;0;0;0.0;0.003;0.001;0.0;0.0;0.003;48.90249024153852;
DC0_VM0;0;100;0;19;0;1;0.0;0.003;0.001;0.0;0.0;0.003;45.98311447630412;
DC0_VM0;0;107;0;4;0;2;0.0;0.003;0.001;0.0;0.0;0.003;43.82920963923229;
DC0_VM0;0;92;0;3;0;1;0.0;0.003;0.001;0.0;0.0;0.003;43.01619836198566;
