SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
0;119;0;2;0;0;0.0;0.0;0.12;0.0;2.0;0.0;77.13363446530808;
0;143;0;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;0;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;0;7;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;119;0;2;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;121;0;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;133;0;3;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;133;0;3;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;0;7;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;0;2;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;0;7;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;0;2;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;119;1;1;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;121;0;2;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;119;2;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;1;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;1;2;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;133;0;3;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;2;1;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;119;2;2;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;0;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;133;1;11;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;130;2;5;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;133;1;11;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;6;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;130;2;5;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;0;7;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;7;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;0;7;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;133;1;11;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;130;2;5;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;8;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;0;7;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;0;2;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;133;1;11;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;0;7;0;6;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;1;7;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;9;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;0;9;0;8;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;1;5;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;1;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;1;5;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;1;5;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;1;7;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;1;7;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;1;7;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;10;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;1;7;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;1;5;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;11;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;1;5;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;2;3;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;12;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;2;3;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;13;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;149;1;38;0;8;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;1;2;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;2;7;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;2;7;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;14;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;1;16;0;15;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;2;5;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;2;5;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;2;7;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;119;6;4;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;82;5;1;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;105;4;3;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;4;4;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;3;9;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;4;4;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;119;8;37;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;3;9;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;133;1;11;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;5;3;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;2;5;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;6;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;7;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;133;1;11;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;2;7;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;8;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;5;3;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;9;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;2;5;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;105;4;3;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;2;7;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;3;9;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;105;5;5;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;3;9;0;6;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;133;1;11;0;6;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;5;3;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;133;1;11;0;7;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;80;3;7;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;3;9;0;7;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;2;5;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;2;7;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;3;9;0;8;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;125;0;13;0;9;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;1;7;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;2;7;0;6;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;3;4;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;3;17;0;12;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;3;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;1;7;0;6;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;5;4;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;3;2;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;3;17;0;13;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;125;0;13;0;10;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;105;5;5;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;5;4;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;5;4;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;133;1;11;0;8;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;5;4;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;3;4;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;105;5;5;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;3;17;0;14;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;3;17;0;15;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;6;6;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;2;3;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;3;17;0;16;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;4;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;3;4;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;6;6;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;3;4;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;6;6;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;4;2;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;64;0;23;0;15;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;2;3;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;64;0;23;0;16;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;133;1;11;0;9;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;2;3;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;6;6;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;105;5;5;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;143;4;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;3;7;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;3;7;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;80;5;6;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;105;5;5;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;3;7;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;6;6;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;3;7;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;3;7;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;107;9;3;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;3;7;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;5;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;2;15;0;14;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;6;1;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;105;6;3;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;3;7;0;6;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;4;1;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;95;5;5;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;80;5;6;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;107;10;18;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;5;2;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;6;6;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;64;0;23;0;17;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;5;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;7;1;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;6;9;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;149;1;38;0;24;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;80;5;6;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;8;6;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;6;9;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;64;0;23;0;18;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;7;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;64;0;23;0;19;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;80;6;5;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;125;0;13;0;11;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;149;1;38;0;25;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;6;9;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;8;6;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;149;1;38;0;26;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;8;6;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;125;0;13;0;12;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;149;1;38;0;27;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;5;2;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;149;1;38;0;28;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;67;8;6;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;10;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;80;6;5;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;6;1;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;11;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;6;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;111;4;9;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;80;6;5;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;7;2;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;125;1;1;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;12;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;7;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;8;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;13;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;9;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;128;1;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;6;9;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;102;12;8;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;125;2;1;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;6;9;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;125;3;17;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;102;12;8;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;10;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;14;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;11;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;128;1;2;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;125;3;17;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;15;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;6;9;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;16;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;6;9;0;6;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;128;2;3;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;12;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;123;8;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;105;7;9;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;6;9;0;7;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;17;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;125;3;17;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;63;4;3;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;13;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;63;4;3;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;125;3;17;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;63;5;8;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;7;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;125;3;17;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;124;5;5;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;149;1;38;0;32;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;128;2;3;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;105;7;9;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;127;11;9;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;127;11;9;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;128;2;3;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;119;8;37;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;85;13;10;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;149;1;38;0;33;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;128;4;1;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;7;2;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;18;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;105;7;9;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;128;5;38;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;125;3;17;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;128;5;38;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;8;5;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;128;5;38;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;105;7;9;0;6;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;124;5;5;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;19;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;119;8;37;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;125;3;17;0;6;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;119;8;37;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;58;1;22;0;20;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;133;1;11;0;10;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;14;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;75;16;13;0;11;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;125;3;17;0;7;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;105;7;9;0;7;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;6;9;0;8;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;119;8;37;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;125;3;17;0;8;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;128;5;38;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;15;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;124;5;5;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;8;5;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;85;13;10;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;85;13;10;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;124;6;1;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;75;16;13;0;12;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;128;5;38;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;5;17;0;16;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;8;5;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;85;13;10;0;6;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;63;5;8;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;149;1;38;0;34;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;8;5;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;105;7;9;0;8;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;8;5;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;63;5;8;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;124;8;9;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;127;11;9;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;7;27;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;9;12;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;127;11;9;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;9;12;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;119;8;37;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;127;11;9;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;9;12;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;124;8;9;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;7;27;0;1;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;119;8;37;0;6;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;9;12;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;127;11;9;0;6;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;9;12;0;4;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;115;9;12;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;110;6;2;0;0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;127;11;9;0;7;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;108;7;27;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;63;5;8;0;3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;124;8;9;0;2;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
0;128;5;38;0;5;0.0;0.0;0.12;0.0;0.0;0.0;0.0;
