VM name; State; Duration 
DC0_VM0;INACTIVE;4.572803576531829
DC0_VM0;INITIATING;0.0
DC0_VM0;ACTIVE;5.679351834984038
DC0_VM1;INACTIVE;9.065076226163916
DC0_VM1;INITIATING;0.0
DC0_VM1;ACTIVE;1.1870791853519513
DC1_VM0;INACTIVE;1.6969913455189
DC1_VM0;INITIATING;0.0
DC1_VM0;ACTIVE;8.555164065996967
DC1_VM1;INACTIVE;6.252155411515867
DC1_VM1;INITIATING;0.0
DC1_VM1;ACTIVE;4.0
DC2_VM0;INACTIVE;2.937542671160835
DC2_VM0;INITIATING;0.0
DC2_VM0;ACTIVE;7.314612740355032
DC2_VM1;INACTIVE;5.668646878011863
DC2_VM1;INITIATING;0.0
DC2_VM1;ACTIVE;4.583508533504004
DC3_VM0;INACTIVE;0.2978458022867747
DC3_VM0;INITIATING;0.0
DC3_VM0;ACTIVE;9.954309609229092
DC3_VM1;INACTIVE;7.032394213149221
DC3_VM1;INITIATING;0.0
DC3_VM1;ACTIVE;3.219761198366646
